评价,评价时间
口感很不错，大小适中，早上跟孩子一人一个，大人再来点饼干和鸡蛋就可以了，肉粽很有味道，里面的肉也不错哦！下次要换一个口味尝尝了！,2021-01-22
一直想买粽子好久了，这次终于下手了，到货后包装精美，粽子是真空包装，拆开后可蒸、煮、微波方便速食，是上班族的首选佳品，米粒晶莹软糯，肉质鲜美，真是糯而不糊，肥而不腻，香糯可口，鲜甜适中，非常好吃，京东自营购物是我的首选，快递小哥都是先打电话再给我送货，非常贴心，下次要选择别的口味，会一直关注京东,2019-12-27
每年过端午节的时候，都会买五芳斋的粽子，尤其是肉肉粽一直都是我最爱吃的一款，味道特别好！家里老人孩子也特别喜欢，所以这次一下买了四份！粽子也特别的新鲜软糯里面的肉是属于焉得腊肉，口感也非常不错。总之想要下单的亲就不要再犹豫了。,2020-06-18
五芳斋的鲜肉粽子以前买过感觉很好吃今年又想吃肉粽子了所以又下单哈哈因为是京东自营的产品所以隔天就收到货了粽子收到后迫不及待的煮了几个吃嘿嘿?很好吃，软、糯、咸、鲜、是喜欢的味道喜欢的亲们可以下单哈,2020-06-10
粽子吃了好多种，还是最喜欢这个牌子，吃过肉的，红枣的，豆沙的，板栗的，蛋黄的，儿子最爱肉的，这次到货就煮上了，一如既往的好吃,2021-01-18
想买很久了，味道好，其他牌子吃不习惯啊，蒸煮很方便，配上个白煮蛋营养好?哈哈哈,2020-06-10
五芳斋大品牌，口感很不错，大小适中，早上孩子一碗稀饭一个粽子，吃的饱饱的去上学。这款肉粽米粒晶莹软糯，肉质鲜美，肥而不腻，香糯可口，非常的好吃！,2021-01-25
粽子口感太好忘了拍很多照片光顾着吃了。最好吃的还是推荐那个肉蛋的，最大个也最贵。这个肉粽的米和肉的口感跟那个一模一样，也很好吃。五芳斋的粽子还是不错，南方的咸粽有自己的特点。北方的甜粽也有自己的风格，都好吃。,2020-05-31
"过完端午节还可以接着吃粽子，接着买五芳斋。
一包六个，每两个分开装，吃起来很方便。
早餐煮十几分钟就可以吃了，味道一如既往地好??
一直买五芳斋的粽子，各种口味都尝过了，还是肉粽最好吃。吃完接着再买哦。",2020-08-07
颗粒饱满，口感非常棒，黏糯一流。原来去嘉兴五芳斋店吃过，确实味道不错，这次买了几袋回来，也是不错的。肉汁布满粽子，里面肉肉不是很腻的肥肉，是肥瘦相间的。蛋黄粽还有一个大鸭蛋黄，不是特别咸，只有粽子的清香和肉汁的香味。,2020-06-09
